Temperature,L,R,A_M,Color,Spectral_Class,Type,Absolute_Radius_km
3068,0.0024,0.17,16.12,Red,M,0,118377.8
3042,0.0005,0.1542,16.6,Red,M,0,107375.628
2600,0.0003,0.102,18.7,Red,M,0,71026.68
2800,0.0002,0.16,16.65,Red,M,0,111414.40000000001
1939,0.000138,0.103,20.06,Red,M,0,71723.01999999999
2840,0.00065,0.11,16.98,Red,M,0,76597.4
2637,0.00073,0.127,17.22,Red,M,0,88435.18000000001
2600,0.0004,0.096,17.4,Red,M,0,66848.64
2650,0.00069,0.11,17.45,Red,M,0,76597.4
2700,0.00018,0.13,16.05,Red,M,0,90524.2
3600,0.0029,0.51,10.69,Red,M,1,355133.4
3129,0.0122,0.3761,11.79,Red,M,1,261893.474
3134,0.0004,0.196,13.21,Red,M,1,136482.64
3628,0.0055,0.393,10.48,Red,M,1,273661.62
2650,0.0006,0.14,11.782,Red,M,1,97487.6
3340,0.0038,0.24,13.07,Red,M,1,167121.6
2799,0.0018,0.16,14.79,Red,M,1,111414.40000000001
3692,0.00367,0.47,10.8,Red,M,1,327279.8
3192,0.00362,0.1967,13.53,Red,M,1,136970.078
3441,0.039,0.351,11.18,Red,M,1,244415.34
25000,0.056,0.0084,10.58,Blue White,B,2,5849.255999999999
7740,0.00049,0.01234,14.02,White,A,2,8592.8356
7220,0.00017,0.011,14.23,White,F,2,7659.74
8500,0.0005,0.01,14.5,White,A,2,6963.400000000001
16500,0.013,0.014,11.89,Blue White,B,2,9748.76
12990,8.5e-05,0.00984,12.23,Yellowish White,F,2,6851.9856
8570,0.00081,0.0097,14.2,Blue white,A,2,6754.4980000000005
7700,0.00011,0.0128,14.47,Yellowish White,F,2,8913.152
11790,0.00015,0.011,12.59,Yellowish White,F,2,7659.74
7230,8e-05,0.013,14.08,Pale yellow orange,F,2,9052.42
39000,204000.0,10.6,-4.7,Blue,O,3,7381204.0
30000,28840.0,6.3,-4.2,Blue-white,B,3,4386942.0
15276,1136.0,7.2,-1.97,Blue-white,B,3,5013648.0
9700,74.0,2.89,0.16,Whitish,B,3,2012422.6
5800,0.81,0.9,5.05,yellow-white,F,3,626706.0
8052,8.7,1.8,2.42,Whitish,A,3,1253412.0
6757,1.43,1.12,2.41,yellow-white,F,3,779900.8
6380,1.35,0.98,2.93,yellow-white,F,3,682413.2
5936,1.357,1.106,4.46,yellow-white,F,3,770152.04
5587,0.819,0.99,5.03,yellow-white,F,3,689376.6
3826,200000.0,19.0,-6.93,Red,M,4,13230460.0
3365,340000.0,23.0,-6.2,Red,M,4,16015820.0
3270,150000.0,88.0,-6.02,Red,M,4,61277920.0
3200,195000.0,17.0,-7.22,Red,M,4,11837780.0
3008,280000.0,25.0,-6.0,Red,M,4,17408500.0
3600,320000.0,29.0,-6.6,Red,M,4,20193860.0
3575,123000.0,45.0,-6.78,Red,M,4,31335300.0
3574,200000.0,89.0,-5.24,Red,M,4,61974260.0
3625,184000.0,84.0,-6.74,Red,M,4,58492560.0
33750,220000.0,26.0,-6.1,Blue,B,4,18104840.0
3490,270000.0,1520.0,-9.4,Red,M,5,1058436800.0
3750,283000.0,1260.0,-7.63,Red,M,5,877388400.0
3834,272000.0,1183.0,-9.2,Red,M,5,823770220.0
3749,550000.0,1648.0,-8.05,Orange,M,5,1147568320.0
3650,310000.0,1324.0,-7.79,Red,M,5,921954160.0
3450,263000.0,1349.0,-11.75,Red,M,5,939362660.0
3660,363000.0,1673.0,-11.92,Red,M,5,1164976820.0
3450,174000.0,1284.0,-11.28,Red,M,5,894100560.0
3752,209000.0,955.0,-11.24,Red,M,5,665004700.0
3535,195000.0,1546.0,-11.36,Red,M,5,1076541640.0
3341,0.0056,0.057,16.23,Red,M,0,39691.380000000005
3432,0.00067,0.19,16.94,Red,M,0,132304.6
2983,0.00024,0.094,16.09,Red,M,0,65455.96
2835,0.00034,0.0918,16.96,Red,M,0,63924.012
2935,0.00014,0.116,18.89,Red,M,0,80775.44
3295,0.00098,0.132,17.13,Red,M,0,91916.88
2945,0.00032,0.093,18.34,Red,M,0,64759.62
2817,0.00098,0.0911,16.45,Red,M,0,63436.574
2774,0.00036,0.118,17.39,Red,M,0,82168.12
2871,0.00072,0.12,19.43,Red,M,0,83560.8
3345,0.021,0.273,12.3,Red,M,1,190100.82
3607,0.022,0.38,10.12,Red,M,1,264609.2
3304,0.0085,0.18,13.2,Red,M,1,125341.2
3150,0.0088,0.35,11.94,Red,M,1,243718.99999999997
3550,0.004,0.291,10.89,Red,M,1,202634.93999999997
3180,0.001,0.35,11.76,Red,M,1,243718.99999999997
2890,0.0034,0.24,13.46,Red,M,1,167121.6
3342,0.0015,0.307,11.87,Red,M,1,213776.38
2621,0.0006,0.098,12.81,Red,M,1,68241.32
3158,0.00135,0.161,13.98,Red,M,1,112110.74
7100,0.00029,0.012,14.09,White-Yellow,F,2,8356.08
10574,0.00014,0.0092,12.02,White,F,2,6406.3279999999995
8930,0.00056,0.0095,13.78,white,A,2,6615.23
17200,0.00098,0.015,12.45,Blue White,B,2,10445.1
14100,0.00067,0.0089,12.17,Blue White,B,2,6197.426
9675,0.00045,0.0109,13.98,Blue White,A,2,7590.106
12010,0.00078,0.0092,12.13,Blue White,B,2,6406.3279999999995
10980,0.00074,0.0087,11.19,Blue White,B,2,6058.157999999999
13720,0.00018,0.00892,12.97,white,F,2,6211.352800000001
19860,0.0011,0.0131,11.34,Blue,B,2,9122.054
5300,0.59,0.91,5.49,yellow-white,F,3,633669.4
4526,0.153,0.865,6.506,yellowish,K,3,602334.1
4077,0.085,0.795,6.228,yellowish,K,3,553590.3
4980,0.357,1.13,4.78,Yellowish,K,3,786864.2
9030,45.0,2.63,1.45,Blue-white,A,3,1831374.2
11250,672.0,6.98,-2.3,Blue-white,A,3,4860453.2
5112,0.63,0.876,4.68,Orange-Red,K,3,609993.84
7720,7.92,1.34,2.44,yellow-white,F,3,933095.6000000001
12098,689.0,7.01,0.02,Blue-white,A,3,4881343.399999999
36108,198000.0,10.2,-4.4,Blue,O,3,7102667.999999999
33300,240000.0,12.0,-6.5,Blue,B,4,8356080.0
40000,813000.0,14.0,-6.23,Blue,O,4,9748760.0
23000,127000.0,36.0,-5.76,Blue,O,4,25068240.0
17120,235000.0,83.0,-6.89,Blue,O,4,57796220.0
11096,112000.0,12.0,-5.91,Blue,O,4,8356080.0
14245,231000.0,42.0,-6.12,Blue,O,4,29246280.0
24630,363000.0,63.0,-5.83,Blue,O,4,43869420.0
12893,184000.0,36.0,-6.34,Blue,O,4,25068240.0
24345,142000.0,57.0,-6.24,Blue,O,4,39691380.0
33421,352000.0,67.0,-5.79,Blue,O,4,46654780.0
3459,100000.0,1289.0,-10.7,Red,M,5,897582260.0
3605,126000.0,1124.0,-10.81,Red,M,5,782686160.0
3615,200000.0,1635.0,-11.33,Red,M,5,1138515900.0
3399,117000.0,1486.0,-10.92,Red,M,5,1034761240.0
3610,132000.0,1522.0,-10.86,Red,M,5,1059829480.0
3553,145000.0,1324.0,-11.03,Red,M,5,921954160.0
4015,282000.0,1534.0,-11.39,Red,K,5,1068185560.0
3625,74000.0,876.0,-10.25,Red,M,5,609993840.0
6850,229000.0,1467.0,-10.07,Red,G,5,1021530780.0
3780,200000.0,1324.0,-10.7,Red,M,5,921954160.0
3323,0.00043,0.0912,17.16,Red,M,0,63506.208
3531,0.00093,0.0976,19.94,Red,M,0,67962.784
3218,0.00054,0.11,20.02,Red,M,0,76597.4
3146,0.00015,0.0932,16.92,Red,M,0,64898.888000000006
3511,0.00064,0.109,17.12,Red,M,0,75901.06
3225,0.00076,0.121,19.63,Red,M,0,84257.14
2935,0.00087,0.0932,16.88,Red,M,0,64898.888000000006
2861,0.00019,0.0899,16.71,Red,M,0,62600.96599999999
2856,0.000896,0.0782,19.56,Red,M,0,54453.788
2731,0.000437,0.0856,18.09,Red,M,0,59606.704
3095,0.00019,0.492,10.87,Red,M,1,342599.27999999997
3607,0.00023,0.38,10.34,Red,M,1,264609.2
3100,0.008,0.31,11.17,Red,M,1,215865.4
2989,0.0087,0.34,13.12,Red,M,1,236755.6
3542,0.0009,0.62,14.23,Red,M,1,431730.8
3243,0.0023,0.73,14.75,Red,M,1,508328.2
3091,0.0081,0.24,11.43,Red,M,1,167121.6
3598,0.0011,0.56,14.26,Red,M,1,389950.4
3324,0.0034,0.34,12.23,Red,M,1,236755.6
3541,0.0013,0.256,14.33,Red,M,1,178263.04
13420,0.00059,0.00981,13.67,Blue White,B,2,6831.095399999999
21020,0.0015,0.0112,11.52,Blue,B,2,7799.008
18290,0.0013,0.00934,12.78,Blue,B,2,6503.8156
14520,0.00082,0.00972,11.92,Blue White,B,2,6768.4248
11900,0.00067,0.00898,11.38,Blue white,B,2,6253.1332
8924,0.00028,0.00879,14.87,Blue white,A,2,6120.8286
12912,0.00071,0.00945,12.83,Blue white,B,2,6580.4130000000005
14732,0.00011,0.00892,12.89,white,F,2,6211.352800000001
7723,0.00014,0.00878,14.81,White,A,2,6113.865199999999
